prov,year,covid,location,region,prov_istat,log_buy_min,log_buy_max,log_buy_avg,population,reg_age_avg,over65,log_median_income,dwellings,prov_immigration,prov_emigration,prov_net_movements,log_real_gdp,log_nominal_gdp,unemployment_prov,ratio_hotel_beds,ratio_hotel_mun,ratio_str_beds,ratio_str_mun,ratio_str_mun_beds,ratio_arrivals,ratio_arrivals_foreigners,tourism_score,log_tour_employed,log_population
SP,2014,0,NW,Liguria,011,7.204312648117802,7.567776406594336,7.386044527356068,2596162.0,47.53139001491645,0.277922615983533,9.794524323264472,1554641.0,47.3496912576258,30.645314115344924,0.20867912932878302,14.253499052044916,14.29871461443681,12.4,33.32734939235972,2.9162886125781204,13.935318561997345,0.14473058332787583,0.9018893199114958,265.5172093641167,150.16042974345444,0.40160221221837095,14.501416080901258,14.769544758557085
SP,2015,0,NW,Liguria,011,7.205264368976185,7.562986858051633,7.384125613513909,2502602.0,47.88273746168483,0.2795071216123848,9.8030584291172,1506012.0,40.584315801185525,29.55619338342566,0.13891521365357284,14.253485175775596,14.307685758791632,10.6,31.777872695726845,3.0308047679032324,16.99265877261052,0.17363770438795523,1.0730060705309772,301.2935432489531,174.714366173306,0.49987881178722166,14.51600418716716,14.732841548581638
SP,2016,0,NW,Liguria,011,7.178819954808776,7.535289412678565,7.35705468374367,2498215.0,47.4745057012044,0.2883300282873057,9.816840567464741,1506012.0,42.301471567697284,29.497657577081263,0.16291939750830342,14.262302861817254,14.324300731606444,10.2,31.761167218867772,3.0224768576644823,19.395623266874736,0.20264246955786777,1.2005600963077314,333.75987715715405,193.50715592467174,0.5509487093039876,14.57109013709187,14.731087034819033
SP,2017,0,NW,Liguria,011,7.162735695258751,7.522011275295186,7.342373485276967,2495113.0,49.425818836954114,0.29127611799812897,9.826760125549296,1506012.0,44.36727152568935,29.77920451126653,0.18593234475758075,14.274589284506764,14.348991618246792,9.5,32.511880696337826,3.152049616573038,20.721417778565623,0.2552686191142908,1.4222653337322877,359.65557070654006,208.23253830511263,0.6097866221277308,14.615952632066215,14.72984457672333
SP,2018,0,NW,Liguria,011,7.1454276124153395,7.510952177345175,7.328189894880256,2490703.0,48.4276076065856,0.2817597576135531,9.823607786466452,1506012.0,44.87668590335621,30.77793575286986,0.18014373671115946,14.290499049859632,14.371974526989852,10.0,32.22293107266376,3.2163184961233595,21.71590797838203,0.29910357520817465,1.6351534697647854,372.5035080579307,220.37337863287482,0.6259157703624819,14.609780537731918,14.728075557910737
SP,2019,0,NW,Liguria,011,7.139124236167298,7.508190638062659,7.323657437114978,2489468.0,49.57232175666865,0.3172458549433695,9.847533836728495,1506012.0,48.28974229349828,30.99363171109732,0.22110049411475205,14.298731536878893,14.390855927691584,9.0,32.42456825450865,3.142607081262026,22.708677098806106,0.3524250972203678,1.894084755736853,367.51006302159624,213.61076671291963,0.6309001620332516,14.631583527526258,14.727579590995017
SP,2020,1,NW,Liguria,011,7.138587242916759,7.507077560941562,7.322832401929161,2484369.0,48.44510586965396,0.285853416893583,9.857719944188895,1506012.0,49.36075708787892,35.18910632142235,0.18200267851625246,14.303013979455951,14.405554007743989,10.0,32.30855600398746,3.1225729319599704,23.183134106229414,0.36030700054291676,2.014390764540839,201.7420355121539,81.95972851358707,0.5358458149336899,14.491113229758247,14.725529261727578
SP,2021,1,NW,Liguria,011,7.135396558658884,7.5049032187495195,7.320149888704202,2471077.0,48.65826336799303,0.2691360287882145,9.839123289999925,1506012.0,42.645713316654096,34.040643567299554,0.11174632959585606,14.210150370913528,14.328341310116052,9.8,31.514231343931336,3.154139127187823,24.11314188741393,0.3807581612153271,2.1457173772336393,299.85801816157993,143.77511284287553,0.6069203942837716,14.452257213884272,14.720164645958326
SP,2022,1,NW,Liguria,011,7.138993960956939,7.506655403142364,7.322824682049651,2463332.0,48.6901440907248,0.26655595874809795,9.881157784605932,1506012.0,49.147701743551096,34.650135769209044,0.18932112710642457,14.295695409344063,14.426637919319788,8.2,31.955483225824953,3.1725829842066235,23.51843514693402,0.392079468514289,2.179544085116481,419.98717733414264,248.03413913256986,0.6799629689681804,14.588913808049881,14.71702546298414
SP,2023,1,NW,Liguria,011,7.130590671202945,7.496754849378493,7.31367276029072,2466085.0,48.093700444225874,0.29011321354793207,9.929481138250814,1506012.0,55.98734905503516,36.668520436235006,0.2542524750239087,14.342781042569822,14.507693573866824,5.0,29.50436871590408,3.1653791438026553,25.393967308235876,0.4282813171665086,2.3275905458260326,462.9240442758709,293.9312890884585,0.711211021667983,14.645884731497906,14.718142430887736
