prov,year,covid,location,region,prov_istat,log_buy_min,log_buy_max,log_buy_avg,population,reg_age_avg,over65,log_median_income,dwellings,prov_immigration,prov_emigration,prov_net_movements,log_real_gdp,log_nominal_gdp,unemployment_prov,ratio_hotel_beds,ratio_hotel_mun,ratio_str_beds,ratio_str_mun,ratio_str_mun_beds,ratio_arrivals,ratio_arrivals_foreigners,tourism_score,log_tour_employed,log_population,growth_log_buy_min,growth_log_buy_max,growth_log_buy_avg,growth_log_nominal_gdp,growth_log_median_income,growth_log_population
FE,2019,0,NE,Emilia Romagna,038,6.600773055266922,6.925246448903022,6.763009752084971,4617809.0,45.57860644980555,0.2363417373593355,9.78877782221025,3018427.0,54.95039869153379,37.07081946637562,0.19411264416053028,14.298731536878895,14.390855927691584,8.7,41.34468552904254,1.8951470180947059,18.922729787250503,0.6497753594591444,5.605717806273625,142.01785413416303,44.232948903703736,0.174930083747612,14.631583527526258,15.345430908145175,-0.0165571825262818,-0.01698635025496742,-0.016771766390625942,0.01888140070173172,0.03203266752371725,0.009275619389759626
FE,2020,1,NE,Emilia Romagna,038,6.585339889366689,6.909373043513699,6.747356466440195,4609259.0,45.93455298187041,0.22835420416460775,9.80417564559354,3018427.0,59.29441044200316,41.89951384690167,0.1904240817527723,14.303013979455951,14.405554007743989,6.8999999999999995,39.74651254025406,1.8380128223717438,19.937480057677405,0.6344475565228501,5.499838503973969,88.64903262749685,13.398333832734378,0.1663351092043647,14.491113229758245,15.343577664526055,-0.015433165900232915,-0.015873405389323025,-0.01565328564477575,0.014698080052404805,0.015397823383290543,-0.001853243619120093
FE,2021,1,NE,Emilia Romagna,038,6.577235521043939,6.902222489098952,6.739729005071445,4575499.0,45.530902463034984,0.2245318350724371,9.798198180679769,3018427.0,50.80361691315003,38.50423185211224,0.13625472300301114,14.210150370913526,14.328341310116052,7.3,33.577565500967125,1.7378913528185795,24.189466327749045,0.586438285820869,4.9461924172811464,119.6307774030617,26.23356144612597,0.16528966737869014,14.452257213884273,15.336226321782197,-0.00810436832275041,-0.007150554414747212,-0.0076274613687496995,-0.07721269762793703,-0.005977464913771158,-0.007351342743858069
FE,2022,1,NE,Emilia Romagna,038,6.572960426827751,6.8978520488479775,6.735406237837863,4536332.0,45.21694193113748,0.22452513098396487,9.833247085909433,3018427.0,60.256394278170575,39.00711966718279,0.23639412129384382,14.295695409344063,14.426637919319788,8.3,33.041522424372715,1.7547622700993712,23.330262459718085,0.5908805660022695,4.974319232387959,141.48213472213888,40.183887955531,0.17378993929916,14.588913808049883,15.327629313951162,-0.004275094216187547,-0.004370440250974106,-0.004322767233581715,0.09829660920373584,0.03504890522966342,-0.008597007831035341
FE,2023,1,NE,Emilia Romagna,038,6.571703348153087,6.897147845709762,6.734425596931424,4533719.0,48.628550905757784,0.2633690663352165,9.87357351050434,3018427.0,70.78089839468329,42.31949136244284,0.31850161192106075,14.342781042569824,14.507693573866826,5.6,35.0768929666336,1.7151786770400208,21.53865402505501,0.5125965343969648,4.308282760234115,146.94210139325162,44.532746799040446,0.23676003865118703,14.645884731497906,15.327053131949034,-0.0012570786746639584,-0.0007042031382153979,-0.000980640906439234,0.081055654547038,0.040326424594907095,-0.0005761820021277231
FE,2024,1,NE,Emilia Romagna,038,6.575980046246384,6.897189201962411,6.736584624104398,4535640.0,46.00157687813727,0.2382610638505664,9.945751700869767,3018427.0,67.60960512912688,40.44719368228858,0.303840716853896,14.352490699316046,14.577531396238825,4.9,36.91802290070458,1.736764582667669,20.297246951455513,0.5251053105841382,4.369978639611154,153.56116241593088,50.05526889611735,0.24504224727078253,14.657415865352217,15.327476756160785,0.004276698093296893,4.135625264911624e-05,0.002159027172973893,0.06983782237199954,0.0721781903654275,0.0004236242117503508
FG,2015,0,S,Puglia,071,6.716798553183834,7.024615884261454,6.870707218722644,3245889.0,43.932451498849154,0.2425595978053792,9.292707386934001,1711339.0,41.77153366278829,48.07508502035192,-0.07344184071609142,14.253485175775596,14.307685758791632,19.1,36.99832440330483,8.981298089553354,9.566621588113346,0.1035183387229769,3.0433095967720023,298.18278851248755,56.88104541771566,0.23780494824083814,14.51600418716716,14.992899830538523,-0.021413494279864054,-0.021206840269946348,-0.021310167274904757,0.008971144354820382,0.0003120481348268811,-0.007929930072664959
FG,2016,0,S,Puglia,071,6.697738380716563,6.998986058372182,6.848362219544372,3227542.0,42.894296061629696,0.22280959387174853,9.30857763306047,1711339.0,36.39757181498161,48.545453378547194,-0.1419686575645634,14.262302861817254,14.324300731606444,20.300000000000004,35.148237789975994,9.480407275868698,10.803909089882968,0.10991351522663735,2.7752102101057563,312.19369449626004,61.792582972435056,0.24366393664594413,14.57109013709187,14.98723141478635,-0.01906017246727032,-0.025629825889271984,-0.02234499917827204,0.01661497281481239,0.015870246126468146,-0.005668415752172251
FG,2017,0,S,Puglia,071,6.671688801892068,6.976529956675189,6.8241093792836285,3211332.0,42.85513302328344,0.2099518811291477,9.328858185056898,1711339.0,42.58708266814895,50.744847506900925,-0.09570032876067645,14.274589284506764,14.348991618246792,15.400000000000002,33.054934339538214,9.071769937935075,11.51934353181625,0.12985826614773885,3.147883483855542,318.4792950559788,60.0080488729446,0.24895768993930828,14.615952632066215,14.982196362307928,-0.026049578824495434,-0.02245610169699308,-0.02425284026074337,0.024690886640348353,0.020280551996428642,-0.005035052478422841
FG,2018,0,S,Puglia,071,6.650562752134523,6.953541040707644,6.8020518964210845,3191664.0,44.916699614995274,0.222716961238745,9.329878017391698,1711339.0,44.19627962705396,52.350804459651236,-0.09637533250915505,14.290499049859632,14.371974526989852,13.0,31.98523125056101,9.181499711416343,12.239989819606329,0.13848647576020995,3.3003611321076862,321.370043076775,64.47648177373193,0.2593296053950374,14.609780537731918,14.976052968853386,-0.021126049757544507,-0.022988915967545154,-0.022057482862543942,0.022982908743060193,0.0010198323347996308,-0.0061433934545416236
